Name;Energy;Fats;Carbs;Proteins;Fiber;Sugars;Water
Carpa, cotta;162;7.17;0;22.86;0;69.63;1.87
Carruba dolce, senza zucchero;540;31.36;56.29;8.15;3.8;34.11;1.54
Castagne;213;2.26;45.54;2.42;8.1;48.65;1.13
Castagne secche;374;4.45;77.31;6.39;11.7;9.45;2.4
Castagne secche, sbucciate;369;3.91;78.43;5.01;9;3.64;64
Castagne, arrosto;245;2.2;52.96;3.17;5.1;10.6;40.48
Castagne, lesse o al vapore;131;1.38;27.76;2;68.15;0.71;46
Castagne, sbucciate;196;1.25;44.17;1.63;52;0.96;19
Cavallo, carne cruda;133;4.6;0;21.39;0;72.63;0.99
Caviale;264;17.9;4;24.6;0;0;47.5
Cavoletti di bruxelles;43;0.3;8.95;3.38;3.8;2.2;86
Cavoletti di bruxelles, cotti;36;0.5;7.1;2.55;2.6;1.74;88.9
Cavoletti di bruxelles, lessi e salati;36;0.5;7.1;2.55;2.6;1.74;88.9
Cavoletti di bruxelles, surgelati;41;0.41;7.86;3.78;3.8;87.07;0.88
Cavoletti di bruxelles, surgelati, lessi;42;0.39;8.32;3.64;4.1;2.08;86.74
Cavolfiore;25;0.28;4.97;1.92;2;1.91;92.07
Cavolfiore, lesso;23;0.45;4.11;1.84;2.3;2.08;93
Cavolfiore, lesso e salato;23;0.45;4.11;1.84;2.3;1.86;93
Cavolfiore, surgelato;24;0.27;4.68;2.01;2.3;2.22;92.51
Cavolfiore, surgelato, lesso;19;0.22;3.75;1.61;2.7;1.05;94
Cavolo cappuccio rosso;31;0.16;7.37;1.43;2.1;3.83;90.39
Cavolo cappuccio rosso, lesso;29;0.09;6.94;1.51;2.6;3.32;90.84
Cavolo cappuccio verde;25;0.1;5.8;1.28;2.5;3.2;92.18
Cavolo cappuccio verde, lesso;23;0.06;5.51;1.27;1.9;2.79;92.57
Cavolo cinese (pak choi), bollito, con sale;12;0.16;1.78;1.56;1;0.83;95.55
Cavolo cinese (pak choi), bollito, senza sale;12;0.16;1.78;1.56;1;0.83;95.55
Cavolo verza;27;0.1;6.1;2;3.1;2.27;91
Cavolo verza, lesso;24;0.09;5.41;1.8;2.8;92;0.7
Ceci;364;6.04;60.65;19.3;17.4;10.7;11.53
Ceci secchi bolliti;164;2.59;27.42;8.86;7.6;4.8;60.21
Cefalo muggine;117;3.79;0;19.35;0;0;77.01
Cefalo muggine, cotto;150;4.86;0;24.81;0;70.52;1.34
Cereali al miele con latte intero, per l'infanzia;115;3.6;15.9;5;74.2;1.2;294
Cereali alla banana con latte intero, per l'infanzia;86;3.46;10;3.82;0.4;5.9;81.81
Cereali alla banana, per l'infanzia;391;4.6;77.1;10.7;7.8;6.68;4.5
Cereali Cheerios;367;5.9;74.68;11.33;10.1;4.02;3.76
Cereali con latte intero, con aggiunta di proteine, per l'infanzia;111;3.8;11.6;8.7;74.5;1.5;218
Cereali con mela e arancia, con aggiunta di proteine, per l'infanzia;374;6.5;57.6;25.4;7.1;5.3;5.2
Cereali, Corn flakes a basso contenuto di sodio;399;0.3;88.8;7.7;1.1;6.11;3
Cereali, Kellog's All-bran;260;4.9;74.24;13.14;29.3;15.69;2.12
Cereali, Kellogg's Choco Crispies;381;2.9;86.05;5.22;1.9;33.96;2.81
Cereali, Kellogg's Corn flakes;361;0.59;87.11;6.61;2.5;10.5;3.76
Cereali, Kellogg's Rice Crispies;387;0.96;85.24;6.84;0.8;9.46;4.13
Cereali, Kellogg's Special K;379;2;74;18;8.5;12.9;3
Cereali, Kellogg's Special K con frutti rossi;359;1;86;6;8;30;3
Cerfoglio secco;237;3.9;49.1;23.2;11.3;7.2;16.6
Cernia;92;1.02;0;19.38;0;79.22;1.17
Cernia, cotto;118;1.3;0;24.84;0;73.36;1.41
Cervello di maiale;127;9.21;0;10.28;0;78.36;1.13
Cervello di vitello, cotto;136;9.63;0;11.48;0;76.89;1.4
Cervello di vitello, crudo;118;8.21;0;10.32;0;79.78;1.36
Cervo, carne cruda;120;2.42;0;22.96;0;0;73.57
Cervo, cotto, arrosto;158;3.19;0;30.21;0;65.23;1.52
Cetrioli;15;0.11;3.63;0.65;0.5;1.67;95.23
Cetrioli dolci;91;0.41;21.15;0.58;1;18.27;76.2
Cetrioli sott'aceto;18;0.19;4.13;0.62;1.2;1.92;91.67
Cetrioli, senza buccia;12;0.16;2.16;0.59;0.7;1.38;96.73
Chayote;19;0.13;4.51;0.82;1.7;1.66;94.24
Cheddar;403;33.14;1.28;24.9;0;0.52;36.75
Cheeseburger;303;13.93;29.89;15.13;1;5.47;38.7
Cheeseburger, Burger King;286;14.81;23.71;14.57;2.8;4.49;44.59
Cheeseburger, McDonald's;263;11.79;27.81;12.97;1.1;6.22;45
Cheesecake;321;22.5;25.5;5.5;0.4;21.8;45.6
Chicken mcnuggets;297;18.82;16.32;15.59;0.9;0.88;47.08
Chicken McNuggets, bocconcini di pollo, McDonald's;291;18.07;17.22;14.97;0.8;0;47.44
Chicken Sandwich, Burger King;286;15.4;24.35;12.57;2.4;2.71;45.52
Chicken whopper, Burger King;216;10.52;18.67;11.77;1.5;3.39;57.3
